date,Temp_Max,Temp_Avg,Temp_Min,Precipitation
11/1/20,59,53.3,42,0
11/2/20,50,43.8,39,0.52
11/3/20,65,52.1,40,0
11/4/20,66,53,42,0
11/5/20,67,56.3,48,0
11/6/20,70,56.8,50,0
11/7/20,73,58.5,47,0
11/9/20,74,60.3,53,0
11/10/20,75,63.7,54,0
11/11/20,70,66.9,62,0
11/12/20,68,59.9,51,2.68
11/13/20,61,54,49,0.23
11/14/20,61,52,42,0
11/15/20,71,58.2,49,0
11/16/20,62,54.5,50,0.26
11/17/20,57,46.4,39,0
11/18/20,45,39.6,35,0
11/19/20,52,43.4,32,0
11/20/20,63,51.3,43,0
11/21/20,64,55.2,46,0
11/22/20,58,55.1,51,0
11/23/20,59,52,45,0.02
11/24/20,52,46.2,39,0
11/25/20,56,50.7,45,0
11/26/20,67,58.9,51,0.04
11/27/20,61,56.5,52,0
11/28/20,61,52.5,46,0
11/29/20,57,48.3,38,0
11/30/20,64,58.2,49,0.56
