"Favor","Oppose","Neither","Undecided","No Opinion","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
53,40,NA,8,NA,"kaiser-ff-28982","Kaiser FF","2018-11-14","2018-11-18","As you may know a health reform bill was signed into law in 2010, known commonly as the Affordable Care Act or Obamacare. Given what you know about the health reform law, do you have a generally (favorable) or generally (unfavorable) opinion of it? [GET ANSWER THEN ASK: Is that a very (favorable/unfavorable) or somewhat (favorable/unfavorable) opinion?] (rotate items in parentheses)","Adults",1201,3,"Live Phone","Nonpartisan","None"
45,42,NA,13,NA,"yougov-economist-28921","YouGov/Economist","2018-10-21","2018-10-23","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,2.8,"Internet","Nonpartisan","None"
53,42,NA,5,NA,"fox-28908","FOX","2018-10-13","2018-10-16","","Registered Voters",1007,3,"Live Phone","Nonpartisan","None"
49,42,NA,9,NA,"kaiser-ff-28914","Kaiser FF","2018-09-19","2018-10-02","As you may know a health reform bill was signed into law in 2010, known commonly as the Affordable Care Act or Obamacare. Given what you know about the health reform law, do you have a generally (favorable) or generally (unfavorable) opinion of it? [GET ANSWER THEN ASK: Is that a very (favorable/unfavorable) or somewhat (favorable/unfavorable) opinion?] (rotate items in parentheses)","Adults",1201,3,"Live Phone","Nonpartisan","None"
50,40,NA,10,NA,"kaiser-ff-28832","Kaiser FF","2018-08-23","2018-08-28","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1201,3,"Live Phone","Nonpartisan","None"
51,44,NA,5,NA,"fox-28808","FOX","2018-08-19","2018-08-21","I’m going to read you the names of several individuals, groups, and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you’ve never heard of one please just say so. The 2010 health care law, also known as Obamacare","Registered Voters",1009,3,"Live Phone","Nonpartisan","None"
48,40,NA,11,NA,"kaiser-ff-28799","Kaiser FF","2018-07-17","2018-07-22","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1492,3,"Live Phone","Nonpartisan","None"
50,41,NA,8,NA,"kaiser-ff-28709","Kaiser FF","2018-06-11","2018-06-20","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1492,3,"Live Phone","Nonpartisan","None"
49,46,NA,5,NA,"fox-28660","FOX","2018-06-03","2018-06-06","I'm going to read you the names of several individuals, groups, and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so...The 2010 health care law, also known as Obamacare","Registered Voters",1001,3,"Live Phone","Nonpartisan","None"
49,43,NA,9,NA,"kaiser-ff-28708","Kaiser FF","2018-04-20","2018-04-30","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",2000,3,"Live Phone","Nonpartisan","None"
