municipality,county,year,num.meeting,total,num.woman,prop.woman,direct,wm_voters,m_turnout,wm_turnout,wv.share,left,yearsinDD,lag.prop.woman
abild,halland,1921,4,33,0,0,1,152,0.604026846,0.565789474,0.488636364,0.181818182,1,NA
abild,halland,1922,3,31,2,6.451612903,1,NA,NA,NA,NA,NA,2,0
abild,halland,1923,4,38,0,0,1,NA,NA,NA,NA,NA,3,6.451612903
abild,halland,1924,4,29,0,0,1,142,0.714285714,0.563380282,0.444444444,0.222222222,4,0
abild,halland,1925,5,38,7,18.42105263,1,NA,NA,NA,NA,NA,5,0
abild,halland,1926,4,28,2,7.142857143,1,NA,NA,NA,NA,NA,6,18.42105263
abild,halland,1927,4,48,3,6.25,1,NA,NA,NA,NA,NA,7,7.142857143
abild,halland,1928,6,38,1,2.631578947,1,154,0.636942675,0.590909091,0.476439791,0.163157895,8,6.25
abild,halland,1929,3,32,5,15.625,1,NA,NA,NA,NA,NA,9,2.631578947
abild,halland,1930,4,29,3,10.34482759,1,NA,NA,NA,NA,NA,10,15.625
abild,halland,1931,4,56,2,3.571428571,1,NA,NA,NA,NA,NA,11,10.34482759
abild,halland,1932,7,52,0,0,1,151,0.774834437,0.701986755,0.475336323,0.255605381,12,3.571428571
abild,halland,1933,4,48,4,8.333333333,1,NA,NA,NA,NA,NA,13,0
abild,halland,1934,3,32,1,3.125,1,NA,NA,NA,NA,NA,14,8.333333333
abild,halland,1935,8,75,5,6.666666667,1,NA,NA,NA,NA,NA,15,3.125
abild,halland,1936,9,68,1,1.470588235,1,150,0.782051282,0.686666667,0.457777778,0.336283186,16,6.666666667
abild,halland,1937,4,51,5,9.803921569,1,NA,NA,NA,NA,NA,17,1.470588235
abild,halland,1938,4,35,1,2.857142857,1,NA,NA,NA,NA,NA,18,9.803921569
abild,halland,1939,6,69,4,5.797101449,1,NA,NA,NA,NA,NA,19,2.857142857
abild,halland,1940,8,51,0,0,1,137,0.836477987,0.737226277,0.431623932,0.380952381,20,5.797101449
abild,halland,1941,4,66,11,16.66666667,1,NA,NA,NA,NA,NA,21,0
abild,halland,1942,6,62,2,3.225806452,1,NA,NA,NA,NA,NA,22,16.66666667
abild,halland,1943,6,86,5,5.813953488,1,NA,NA,NA,NA,NA,23,3.225806452
abild,halland,1944,5,54,4,7.407407407,1,141,0.808917197,0.765957447,0.459574468,0.37826087,24,5.813953488
abild,halland,1945,6,69,6,8.695652174,1,NA,NA,NA,NA,NA,25,7.407407407
abild,halland,1946,4,52,5,9.615384615,1,NA,NA,NA,NA,NA,26,8.695652174
abild,halland,1947,8,81,8,9.87654321,1,NA,NA,NA,NA,NA,27,9.615384615
abild,halland,1948,5,43,2,4.651162791,1,NA,NA,NA,NA,NA,28,9.87654321
abild,halland,1949,7,66,7,10.60606061,1,NA,NA,NA,NA,NA,29,4.651162791
abild,halland,1950,6,47,0,0,1,NA,NA,NA,NA,NA,30,10.60606061
abild,halland,1951,4,30,2,6.666666667,1,NA,NA,NA,NA,NA,31,0
alfshög,halland,1921,8,40,1,2.5,1,204,0.782352941,0.691176471,0.51459854,0.197080292,1,NA
alfshög,halland,1922,6,51,5,9.803921569,1,NA,NA,NA,NA,NA,2,2.5
alfshög,halland,1923,5,38,1,2.631578947,1,NA,NA,NA,NA,NA,3,9.803921569
alfshög,halland,1924,4,35,4,11.42857143,1,208,0.724489796,0.658653846,0.491039427,0.179856115,4,2.631578947
alfshög,halland,1925,5,33,1,3.03030303,1,NA,NA,NA,NA,NA,5,11.42857143
alfshög,halland,1926,4,59,6,10.16949153,1,NA,NA,NA,NA,NA,6,3.03030303
alfshög,halland,1927,3,63,4,6.349206349,1,NA,NA,NA,NA,NA,7,10.16949153
alfshög,halland,1928,3,40,5,12.5,1,210,0.841025641,0.785714286,0.501519757,0.202453988,8,6.349206349
alfshög,halland,1929,4,42,2,4.761904762,1,NA,NA,NA,NA,NA,9,12.5
alfshög,halland,1930,5,64,3,4.6875,1,NA,NA,NA,NA,NA,10,4.761904762
alfshög,halland,1931,6,48,2,4.166666667,1,NA,NA,NA,NA,NA,11,4.6875
alfshög,halland,1932,3,35,3,8.571428571,1,210,0.798029557,0.771428571,0.5,0.214953271,12,4.166666667
alfshög,halland,1933,3,53,0,0,1,NA,NA,NA,NA,NA,13,8.571428571
alfshög,halland,1934,4,49,2,4.081632653,1,NA,NA,NA,NA,NA,14,0
alfshög,halland,1935,4,57,1,1.754385965,1,NA,NA,NA,NA,NA,15,4.081632653
alfshög,halland,1936,4,41,2,4.87804878,1,203,0.842342342,0.81773399,0.470254958,0.297450425,16,1.754385965
alfshög,halland,1937,3,39,0,0,1,NA,NA,NA,NA,NA,17,4.87804878
alfshög,halland,1938,5,52,3,5.769230769,1,NA,NA,NA,NA,NA,18,0
alfshög,halland,1939,3,14,0,0,1,NA,NA,NA,NA,NA,19,5.769230769
alfshög,halland,1942,2,7,0,0,1,NA,NA,NA,NA,NA,20,0
alfshög,halland,1943,1,4,0,0,1,NA,NA,NA,NA,NA,21,0
alfshög,halland,1944,1,3,0,0,1,216,0.914529915,0.87962963,0.47029703,0.441860465,22,0
alfshög,halland,1945,1,4,0,0,1,NA,NA,NA,NA,NA,23,0
alfshög,halland,1947,2,9,0,0,1,NA,NA,NA,NA,NA,24,0
alfshög,halland,1948,1,4,0,0,1,NA,NA,NA,NA,NA,25,0
alfshög,halland,1949,2,8,0,0,1,NA,NA,NA,NA,NA,26,0
älvsåker,halland,1921,8,63,1,1.587301587,1,291,0.578767123,0.470790378,0.447712418,0.151315789,1,NA
älvsåker,halland,1922,9,74,2,2.702702703,1,NA,NA,NA,NA,NA,2,1.587301587
älvsåker,halland,1923,7,78,2,2.564102564,1,NA,NA,NA,NA,NA,3,2.702702703
älvsåker,halland,1924,5,39,0,0,1,298,0.496666667,0.399328859,0.444029851,0.141791045,4,2.564102564
älvsåker,halland,1925,9,74,2,2.702702703,1,NA,NA,NA,NA,NA,5,0
älvsåker,halland,1926,7,51,0,0,1,NA,NA,NA,NA,NA,6,2.702702703
älvsåker,halland,1927,5,75,5,6.666666667,1,NA,NA,NA,NA,NA,7,0
älvsåker,halland,1928,3,41,0,0,1,283,0.597173145,0.522968198,0.466876972,0.161904762,8,6.666666667
älvsåker,halland,1929,6,65,6,9.230769231,1,NA,NA,NA,NA,NA,9,0
älvsåker,halland,1930,4,55,2,3.636363636,1,NA,NA,NA,NA,NA,10,9.230769231
älvsåker,halland,1931,4,67,10,14.92537313,1,NA,NA,NA,NA,NA,11,3.636363636
älvsåker,halland,1932,9,93,1,1.075268817,1,274,0.661818182,0.562043796,0.458333333,0.244047619,12,14.92537313
älvsåker,halland,1933,8,81,1,1.234567901,1,NA,NA,NA,NA,NA,13,1.075268817
älvsåker,halland,1934,6,75,2,2.666666667,1,NA,NA,NA,NA,NA,14,1.234567901
älvsåker,halland,1935,6,113,5,4.424778761,1,NA,NA,NA,NA,NA,15,2.666666667
älvsåker,halland,1936,2,9,0,0,1,272,0.698924731,0.580882353,0.447592068,0.254957507,16,4.424778761
älvsåker,halland,1937,2,10,0,0,1,NA,NA,NA,NA,NA,17,0
älvsåker,halland,1938,1,5,0,0,1,NA,NA,NA,NA,NA,18,0
älvsåker,halland,1939,2,10,0,0,1,NA,NA,NA,NA,NA,19,0
älvsåker,halland,1940,2,8,0,0,1,252,0.660777385,0.607142857,0.45,0.289940828,20,0
älvsåker,halland,1942,1,3,0,0,1,NA,NA,NA,NA,NA,21,0
älvsåker,halland,1943,2,9,0,0,1,NA,NA,NA,NA,NA,22,0
älvsåker,halland,1944,2,6,0,0,1,264,0.698630137,0.609848485,0.44109589,0.244505495,23,0
älvsåker,halland,1945,1,5,0,0,1,NA,NA,NA,NA,NA,24,0
älvsåker,halland,1946,1,8,0,0,1,NA,NA,NA,NA,NA,25,0
älvsåker,halland,1948,1,4,0,0,1,NA,NA,NA,NA,NA,26,0
älvsåker,halland,1949,2,11,0,0,1,NA,NA,NA,NA,NA,27,0
älvsåker,halland,1950,1,4,0,0,1,NA,NA,NA,NA,NA,28,0
aneboda,kronoberg,1921,6,101,3,2.97029703,1,252,0.764705882,0.623015873,0.481595092,0.257668712,1,NA
aneboda,kronoberg,1922,8,87,2,2.298850575,1,NA,NA,NA,NA,NA,2,2.97029703
aneboda,kronoberg,1923,5,56,10,17.85714286,1,NA,NA,NA,NA,NA,3,2.298850575
ås,halland,1921,3,56,1,1.785714286,1,320,0.674576271,0.54375,0.466487936,0.185483871,1,NA
ås,halland,1922,4,48,6,12.5,1,NA,NA,NA,NA,NA,2,1.785714286
ås,halland,1923,3,61,2,3.278688525,1,NA,NA,NA,NA,NA,3,12.5
ås,halland,1924,2,35,2,5.714285714,1,314,0.578231293,0.398089172,0.423728814,0.156996587,4,3.278688525
ås,halland,1925,6,54,4,7.407407407,1,NA,NA,NA,NA,NA,5,5.714285714
ås,halland,1926,3,37,2,5.405405405,1,NA,NA,NA,NA,NA,6,7.407407407
ås,halland,1927,3,66,3,4.545454545,1,NA,NA,NA,NA,NA,7,5.405405405
ås,halland,1928,3,62,6,9.677419355,1,309,0.78807947,0.686084142,0.471111111,0.167420814,8,4.545454545
ås,halland,1929,3,55,5,9.090909091,1,NA,NA,NA,NA,NA,9,9.677419355
ås,halland,1930,3,57,9,15.78947368,1,NA,NA,NA,NA,NA,10,9.090909091
ås,halland,1931,6,60,3,5,1,NA,NA,NA,NA,NA,11,15.78947368
ås,halland,1932,6,88,5,5.681818182,1,312,0.752411576,0.673076923,0.472972973,0.234234234,12,5
ås,halland,1933,4,75,9,12,1,NA,NA,NA,NA,NA,13,5.681818182
ås,halland,1934,5,66,7,10.60606061,1,NA,NA,NA,NA,NA,14,12
ås,halland,1935,5,75,3,4,1,NA,NA,NA,NA,NA,15,10.60606061
ås,halland,1936,6,68,1,1.470588235,1,291,0.791798107,0.676975945,0.439732143,0.288288288,16,4
ås,halland,1937,3,57,5,8.771929825,1,NA,NA,NA,NA,NA,17,1.470588235
ås,halland,1938,5,61,4,6.557377049,1,NA,NA,NA,NA,NA,18,8.771929825
ås,halland,1939,4,43,1,2.325581395,1,NA,NA,NA,NA,NA,19,6.557377049
ås,halland,1940,5,98,3,3.06122449,1,296,0.736677116,0.652027027,0.450934579,0.276346604,20,2.325581395
ås,halland,1941,4,66,4,6.060606061,1,NA,NA,NA,NA,NA,21,3.06122449
ås,halland,1942,5,81,5,6.172839506,1,NA,NA,NA,NA,NA,22,6.060606061
ås,halland,1943,3,69,3,4.347826087,1,NA,NA,NA,NA,NA,23,6.172839506
ås,halland,1944,3,85,8,9.411764706,1,315,0.639498433,0.587301587,0.475578406,0.228571429,24,4.347826087
ås,halland,1945,6,96,5,5.208333333,1,NA,NA,NA,NA,NA,25,9.411764706
ås,halland,1946,3,70,5,7.142857143,1,NA,NA,NA,NA,NA,26,5.208333333
ås,halland,1947,6,117,12,10.25641026,1,NA,NA,NA,NA,NA,27,7.142857143
ås,halland,1948,2,22,1,4.545454545,1,NA,NA,NA,NA,NA,28,10.25641026
ås,halland,1949,6,72,10,13.88888889,1,NA,NA,NA,NA,NA,29,4.545454545
ås,halland,1950,4,66,6,9.090909091,1,NA,NA,NA,NA,NA,30,13.88888889
ås,halland,1951,3,44,4,9.090909091,1,NA,NA,NA,NA,NA,31,9.090909091
asa,kronoberg,1921,8,95,9,9.473684211,1,365,0.597667638,0.347945205,0.38253012,0.172205438,1,NA
asa,kronoberg,1922,6,75,10,13.33333333,1,NA,NA,NA,NA,NA,2,9.473684211
asa,kronoberg,1923,6,99,8,8.080808081,1,NA,NA,NA,NA,NA,3,13.33333333
